Time,Sequence Number,Event
0,1,send
0,1001,send
0,2001,send
0,1,transmit
0.0008,1001,transmit
0.0016,2001,transmit
0.0208,1,ack
0.0216,1001,ack
0.0216,3001,send
0.0216,3001,transmit
0.022400000000000003,2001,ack
0.022400000000000003,4001,send
0.022400000000000003,4001,transmit
0.0424,3001,ack
0.0424,5001,send
0.0424,5001,transmit
0.04320000000000001,4001,ack
0.04320000000000001,6001,send
0.04320000000000001,6001,transmit
0.06319999999999999,5001,ack
0.06319999999999999,7001,send
0.06319999999999999,7001,transmit
0.064,6001,ack
0.064,8001,send
0.064,8001,transmit
0.08399999999999999,7001,ack
0.08399999999999999,9001,send
0.08399999999999999,9001,transmit
0.0848,8001,ack
0.10479999999999999,9001,ack
1.1048,9001,send
1.1048,9001,transmit
1.1256,10001,ack
