Time,Congestion Window
0,1000
0.20800000000000002,2000
0.41600000000000004,3000
0.42400000000000004,4000
0.624,5000
0.632,6000
0.64,7000
0.648,8000
0.832,9000
0.84,10000
0.848,11000
0.856,12000
0.864,13000
0.872,14000
0.88,15000
1.056,1000
1.2640000000000002,2000
1.4720000000000004,3000
1.4800000000000004,4000
1.6800000000000006,5000
1.6880000000000006,6000
1.6960000000000006,7000
1.9280000000000008,8000
2.144000000000001,9000
2.360000000000001,10000
2.5760000000000014,11000
2.8000000000000016,12000
3.008000000000002,13000
3.224000000000002,14000
3.440000000000002,15000
3.6560000000000024,16000
3.8720000000000026,17000
4.088000000000003,18000
4.304000000000002,19000
4.520000000000001,20000
4.736000000000001,21000
4.952,22000
5.167999999999999,23000
5.383999999999999,24000
5.599999999999998,25000
5.815999999999997,26000
6.0319999999999965,27000
6.247999999999997,28000
6.471999999999997,29000
6.703999999999997,30000
6.943999999999997,31000
7.1919999999999975,32000
