Time,Sequence Number,Event
0,1,send
0,1,transmit
0.20800000000000002,1,ack
1.0,1,send
1.0,1,transmit
1.2080000000000002,1001,ack
1.2080000000000002,1001,send
1.2080000000000002,1001,transmit
1.4160000000000004,1001,ack
2.208,1001,send
2.208,1001,transmit
2.4160000000000004,2001,ack
2.4160000000000004,2001,send
2.4160000000000004,2001,transmit
2.6240000000000006,2001,ack
3.4160000000000004,2001,send
3.4160000000000004,2001,transmit
3.6240000000000006,3001,ack
3.6240000000000006,3001,send
3.6240000000000006,3001,transmit
3.8320000000000007,3001,ack
4.6240000000000006,3001,send
4.6240000000000006,3001,transmit
4.832,4001,ack
4.832,4001,send
4.832,4001,transmit
5.039999999999999,4001,ack
5.832,4001,send
5.832,4001,transmit
6.039999999999999,5001,ack
6.039999999999999,5001,send
6.039999999999999,5001,transmit
6.247999999999998,5001,ack
7.039999999999999,5001,send
7.039999999999999,5001,transmit
7.247999999999998,6001,ack
7.247999999999998,6001,send
7.247999999999998,6001,transmit
7.455999999999998,6001,ack
8.247999999999998,6001,send
8.247999999999998,6001,transmit
8.455999999999998,7001,ack
8.455999999999998,7001,send
8.455999999999998,7001,transmit
8.663999999999998,7001,ack
9.455999999999998,7001,send
9.455999999999998,7001,transmit
9.663999999999998,8001,ack
9.663999999999998,8001,send
9.663999999999998,8001,transmit
9.871999999999998,8001,ack
10.663999999999998,8001,send
10.663999999999998,8001,transmit
10.871999999999998,9001,ack
10.871999999999998,9001,send
10.871999999999998,9001,transmit
11.079999999999998,9001,ack
11.871999999999998,9001,send
11.871999999999998,9001,transmit
12.079999999999998,10001,ack
12.079999999999998,10001,send
12.079999999999998,10001,transmit
12.287999999999998,10001,ack
13.079999999999998,10001,send
13.079999999999998,10001,transmit
13.287999999999998,11001,ack
13.287999999999998,11001,send
13.287999999999998,11001,transmit
13.495999999999999,11001,ack
14.287999999999998,11001,send
14.287999999999998,11001,transmit
14.495999999999999,12001,ack
14.495999999999999,12001,send
14.495999999999999,12001,transmit
14.703999999999999,12001,ack
15.495999999999999,12001,send
15.495999999999999,12001,transmit
15.703999999999999,13001,ack
15.703999999999999,13001,send
15.703999999999999,13001,transmit
15.911999999999999,13001,ack
16.704,13001,send
16.704,13001,transmit
16.912000000000003,14001,ack
16.912000000000003,14001,send
16.912000000000003,14001,transmit
17.120000000000005,14001,ack
17.912000000000003,14001,send
17.912000000000003,14001,transmit
18.120000000000005,15001,ack
18.120000000000005,15001,send
18.120000000000005,15001,transmit
18.328000000000007,15001,ack
19.120000000000005,15001,send
19.120000000000005,15001,transmit
19.328000000000007,16001,ack
19.328000000000007,16001,send
19.328000000000007,16001,transmit
19.53600000000001,16001,ack
20.328000000000007,16001,send
20.328000000000007,16001,transmit
20.53600000000001,17001,ack
20.53600000000001,17001,send
20.53600000000001,17001,transmit
20.74400000000001,17001,ack
21.53600000000001,17001,send
21.53600000000001,17001,transmit
21.74400000000001,18001,ack
21.74400000000001,18001,send
21.74400000000001,18001,transmit
21.952000000000012,18001,ack
22.74400000000001,18001,send
22.74400000000001,18001,transmit
22.952000000000012,19001,ack
22.952000000000012,19001,send
22.952000000000012,19001,transmit
23.160000000000014,19001,ack
23.952000000000012,19001,send
23.952000000000012,19001,transmit
24.160000000000014,20001,ack
24.160000000000014,20001,send
24.160000000000014,20001,transmit
24.368000000000016,20001,ack
25.160000000000014,20001,send
25.160000000000014,20001,transmit
25.368000000000016,21001,ack
25.368000000000016,21001,send
25.368000000000016,21001,transmit
25.57600000000002,21001,ack
26.368000000000016,21001,send
26.368000000000016,21001,transmit
26.57600000000002,22001,ack
26.57600000000002,22001,send
26.57600000000002,22001,transmit
26.78400000000002,22001,ack
27.57600000000002,22001,send
27.57600000000002,22001,transmit
27.78400000000002,23001,ack
27.78400000000002,23001,send
27.78400000000002,23001,transmit
27.992000000000022,23001,ack
28.78400000000002,23001,send
28.78400000000002,23001,transmit
28.992000000000022,24001,ack
28.992000000000022,24001,send
28.992000000000022,24001,transmit
29.200000000000024,24001,ack
29.992000000000022,24001,send
29.992000000000022,24001,transmit
30.200000000000024,25001,ack
30.200000000000024,25001,send
30.200000000000024,25001,transmit
30.408000000000026,25001,ack
31.200000000000024,25001,send
31.200000000000024,25001,transmit
31.408000000000026,26001,ack
31.408000000000026,26001,send
31.408000000000026,26001,transmit
31.616000000000028,26001,ack
32.40800000000003,26001,send
32.40800000000003,26001,transmit
32.61600000000003,27001,ack
32.61600000000003,27001,send
32.61600000000003,27001,transmit
32.82400000000003,27001,ack
33.61600000000003,27001,send
33.61600000000003,27001,transmit
