TimeReceived,QD
0.011,0
0.012,0.001
0.012,0.002
0.013,0.002
0.014,0.003
0.015,0.004
0.016,0.005
0.016,0.006
0.017,0.006
0.018,0.007
0.019,0.008
0.032,0.0
0.033,0.0
0.034,0.0
0.035,0.0
0.036,0.0
0.036,0.0
0.037,0.0
0.038,0.0
0.039,0.0
0.04,0.0
0.053,0.0
1.053,0.0
2.053,0.0
2.074,0.0
2.075,0.001
2.076,0.002
2.076,0.002
2.077,0.003
2.078,0.004
2.079,0.005
2.08,0.006
2.08,0.006
2.081,0.007
2.082,0.008
2.096,0.0
2.096,0.0
2.097,0.0
2.098,0.001
2.099,0.002
2.1,0.002
2.1,0.003
2.101,0.004
2.102,0.005
2.103,0.006
2.104,0.006
2.104,0.007
2.105,0.008
3.097,0.0
4.097,0.0
4.118,0.0
4.119,0.001
4.12,0.002
4.12,0.002
4.121,0.003
4.122,0.004
4.123,0.005
4.124,0.006
4.124,0.006
4.125,0.007
4.126,0.008
4.14,0.0
4.14,0.0
4.141,0.0
4.142,0.0
4.143,0.0
4.144,0.0
4.144,0.0
4.145,0.0
4.146,0.0
4.147,0.0
4.16,0.0
5.16,0.0
6.16,0.0
6.181,0.0
6.182,0.001
6.183,0.002
6.184,0.002
6.184,0.003
6.185,0.004
6.186,0.005
6.187,0.006
6.188,0.006
6.188,0.007
6.189,0.008
6.203,0.0
6.204,0.0
6.204,0.0
6.205,0.001
6.206,0.002
6.207,0.002
6.208,0.003
6.208,0.004
6.209,0.005
6.21,0.006
6.211,0.006
6.212,0.007
6.212,0.008
7.204,0.0
8.204,0.0
8.225,0.0
8.226,0.001
8.227,0.002
8.228,0.002
8.228,0.003
8.229,0.004
8.23,0.005
8.231,0.006
8.232,0.006
8.232,0.007
8.233,0.008
8.247,0.0
8.248,0.0
8.248,0.0
8.249,0.0
8.25,0.0
8.251,0.0
8.252,0.0
8.252,0.0
8.253,0.0
8.254,0.0
8.268,0.0
9.268,0.0
10.268,0.0
10.288,0.0
10.289,0.001
10.29,0.002
10.291,0.002
10.292,0.003
10.292,0.004
10.293,0.005
10.294,0.006
10.295,0.006
10.296,0.007
10.296,0.008
10.31,0.0
10.311,0.0
10.312,0.0
10.312,0.001
10.313,0.002
10.314,0.002
10.315,0.003
10.316,0.004
10.316,0.005
10.317,0.006
10.318,0.006
10.319,0.007
10.32,0.008
11.312,0.0
12.312,0.0
12.332,0.0
12.333,0.001
12.334,0.002
12.335,0.002
12.336,0.003
12.336,0.004
12.337,0.005
12.338,0.006
12.339,0.006
12.34,0.007
12.34,0.008
12.354,0.0
12.355,0.0
12.356,0.0
12.356,0.0
12.357,0.0
12.358,0.0
12.359,0.0
12.36,0.0
12.36,0.0
12.361,0.0
12.375,0.0
13.375,0.0
14.375,0.0
14.396,0.0
14.396,0.001
14.397,0.002
14.398,0.002
14.399,0.003
14.4,0.004
14.4,0.005
14.401,0.006
14.402,0.006
14.403,0.007
14.404,0.008
14.417,0.0
14.418,0.0
14.419,0.0
14.42,0.001
14.42,0.002
14.421,0.002
14.422,0.003
14.423,0.004
14.424,0.005
14.424,0.006
14.425,0.006
14.426,0.007
14.427,0.008
15.419,0.0
16.419,0.0
16.44,0.0
16.44,0.001
16.441,0.002
16.442,0.002
16.443,0.003
16.444,0.004
16.444,0.005
16.445,0.006
16.446,0.006
16.447,0.007
16.448,0.008
16.461,0.0
16.462,0.0
16.463,0.0
16.464,0.0
16.464,0.0
16.465,0.0
16.466,0.0
16.467,0.0
16.468,0.0
16.468,0.0
16.482,0.0
17.482,0.0
18.482,0.0
18.503,0.0
18.504,0.001
18.504,0.002
18.505,0.002
18.506,0.003
18.507,0.004
18.508,0.005
18.508,0.006
18.509,0.006
18.51,0.007
18.511,0.008
18.524,0.0
18.525,0.0
18.526,0.0
18.527,0.001
18.528,0.002
18.528,0.002
18.529,0.003
18.53,0.004
18.531,0.005
18.532,0.006
18.532,0.006
18.533,0.007
18.534,0.008
19.526,0.0
20.526,0.0
20.547,0.0
20.548,0.001
20.548,0.002
20.549,0.002
20.55,0.003
20.551,0.004
20.552,0.005
20.552,0.006
20.553,0.006
20.554,0.007
20.555,0.008
20.568,0.0
20.569,0.0
20.57,0.0
20.571,0.0
20.572,0.0
20.572,0.0
20.573,0.0
20.574,0.0
20.575,0.0
20.576,0.0
20.589,0.0
21.589,0.0
22.589,0.0
22.61,0.0
22.611,0.001
22.612,0.002
22.612,0.002
22.613,0.003
22.614,0.004
22.615,0.005
22.616,0.006
22.616,0.006
22.617,0.007
22.618,0.008
22.632,0.0
22.632,0.0
22.633,0.0
22.634,0.001
22.635,0.002
22.636,0.002
22.636,0.003
22.637,0.004
22.638,0.005
22.639,0.006
22.64,0.006
22.64,0.007
22.641,0.008
23.633,0.0
24.633,0.0
24.654,0.0
24.655,0.001
24.656,0.002
24.656,0.002
24.657,0.003
24.658,0.004
24.659,0.005
24.66,0.006
24.66,0.006
24.661,0.007
24.662,0.008
24.676,0.0
24.676,0.0
24.677,0.0
24.678,0.0
24.679,0.0
24.68,0.0
24.68,0.0
24.681,0.0
24.682,0.0
24.683,0.0
24.696,0.0
25.696,0.0
26.696,0.0
26.717,0.0
26.718,0.001
26.719,0.002
26.72,0.002
26.72,0.003
26.721,0.004
26.722,0.005
26.723,0.006
26.724,0.006
26.724,0.007
26.725,0.008
26.739,0.0
26.74,0.0
26.74,0.0
26.741,0.001
26.742,0.002
26.743,0.002
26.744,0.003
26.744,0.004
26.745,0.005
26.746,0.006
26.747,0.006
26.748,0.007
26.748,0.008
27.74,0.0
28.74,0.0
28.761,0.0
28.762,0.001
28.763,0.002
28.764,0.002
28.764,0.003
28.765,0.004
28.766,0.005
28.767,0.006
28.768,0.006
28.768,0.007
28.769,0.008
28.783,0.0
28.784,0.0
28.784,0.0
28.785,0.0
28.786,0.0
28.787,0.0
28.788,0.0
28.788,0.0
28.789,0.0
28.79,0.0
28.804,0.0
29.804,0.0
30.804,0.0
30.824,0.0
30.825,0.001
30.826,0.002
30.827,0.002
30.828,0.003
30.828,0.004
30.829,0.005
30.83,0.006
30.831,0.006
30.832,0.007
30.832,0.008
30.846,0.0
30.847,0.0
30.848,0.0
30.848,0.001
30.849,0.002
30.85,0.002
30.851,0.003
30.852,0.004
30.852,0.005
30.853,0.006
30.854,0.006
30.855,0.007
30.856,0.008
31.848,0.0
32.848,0.0
32.868,0.0
32.869,0.001
32.87,0.002
32.871,0.002
32.872,0.003
32.872,0.004
32.873,0.005
32.874,0.006
32.875,0.006
32.876,0.007
32.876,0.008
32.89,0.0
32.891,0.0
32.892,0.0
32.892,0.0
32.893,0.0
32.894,0.0
32.895,0.0
32.896,0.0
32.896,0.0
32.897,0.0
32.911,0.0
33.911,0.0
34.911,0.0
34.932,0.0
34.932,0.001
34.933,0.002
34.934,0.002
34.935,0.003
34.936,0.004
34.936,0.005
34.937,0.006
34.938,0.006
34.939,0.007
34.94,0.008
34.953,0.0
34.954,0.0
34.955,0.0
34.956,0.001
34.956,0.002
34.957,0.002
34.958,0.003
34.959,0.004
34.96,0.005
34.96,0.006
34.961,0.006
34.962,0.007
34.963,0.008
35.955,0.0
36.955,0.0
36.976,0.0
36.976,0.001
36.977,0.002
36.978,0.002
36.979,0.003
36.98,0.004
36.98,0.005
36.981,0.006
36.982,0.006
36.983,0.007
36.984,0.008
36.997,0.0
36.998,0.0
36.999,0.0
37.0,0.0
37.0,0.0
37.001,0.0
37.002,0.0
37.003,0.0
37.004,0.0
37.004,0.0
37.018,0.0
38.018,0.0
39.018,0.0
39.039,0.0
39.04,0.001
39.04,0.002
39.041,0.002
39.042,0.003
39.043,0.004
39.044,0.005
39.044,0.006
39.045,0.006
39.046,0.007
39.047,0.008
39.06,0.0
39.061,0.0
39.062,0.0
39.063,0.001
39.064,0.002
39.064,0.002
39.065,0.003
39.066,0.004
39.067,0.005
39.068,0.006
39.068,0.006
39.069,0.007
39.07,0.008
40.062,0.0
41.062,0.0
41.083,0.0
41.084,0.001
41.084,0.002
41.085,0.002
41.086,0.003
41.087,0.004
41.088,0.005
41.088,0.006
41.089,0.006
41.09,0.007
41.091,0.008
41.104,0.0
41.105,0.0
41.106,0.0
41.107,0.0
41.108,0.0
41.108,0.0
41.109,0.0
41.11,0.0
41.111,0.0
41.112,0.0
41.125,0.0
42.125,0.0
43.125,0.0
43.146,0.0
43.147,0.001
43.148,0.002
43.148,0.002
43.149,0.003
43.15,0.004
43.151,0.005
43.152,0.006
43.152,0.006
43.153,0.007
43.154,0.008
43.168,0.0
43.168,0.0
43.169,0.0
43.17,0.001
43.171,0.002
43.172,0.002
43.172,0.003
43.173,0.004
43.174,0.005
43.175,0.006
43.176,0.006
43.176,0.007
43.177,0.008
44.169,0.0
45.169,0.0
45.19,0.0
45.191,0.001
45.192,0.002
45.192,0.002
45.193,0.003
45.194,0.004
45.195,0.005
45.196,0.006
45.196,0.006
45.197,0.007
45.198,0.008
45.212,0.0
45.212,0.0
45.213,0.0
45.214,0.0
45.215,0.0
45.216,0.0
45.216,0.0
45.217,0.0
45.218,0.0
45.219,0.0
45.232,0.0
46.232,0.0
47.232,0.0
47.253,0.0
47.254,0.001
47.255,0.002
47.256,0.002
47.256,0.003
47.257,0.004
47.258,0.005
47.259,0.006
47.26,0.006
47.26,0.007
47.261,0.008
47.275,0.0
47.276,0.0
47.276,0.0
47.277,0.001
47.278,0.002
47.279,0.002
47.28,0.003
47.28,0.004
47.281,0.005
47.282,0.006
47.283,0.006
47.284,0.007
47.284,0.008
48.276,0.0
49.276,0.0
49.297,0.0
49.298,0.001
49.299,0.002
49.3,0.002
49.3,0.003
49.301,0.004
49.302,0.005
49.303,0.006
49.304,0.006
49.304,0.007
49.305,0.008
49.319,0.0
49.32,0.0
49.32,0.0
49.321,0.0
49.322,0.0
49.323,0.0
49.324,0.0
49.324,0.0
49.325,0.0
49.326,0.0
49.34,0.0
50.34,0.0
51.34,0.0
51.36,0.0
51.361,0.001
51.362,0.002
51.363,0.002
51.364,0.003
51.364,0.004
51.365,0.005
51.366,0.006
51.367,0.006
51.368,0.007
51.368,0.008
51.382,0.0
51.383,0.0
51.384,0.0
51.384,0.001
51.385,0.002
51.386,0.002
51.387,0.003
51.387,0.004
52.384,0.0
53.384,0.0
