TimeReceived,QD
0.011,0
0.012,0.001
0.012,0.002
0.013,0.002
0.014,0.003
0.015,0.004
0.016,0.005
0.016,0.006
0.017,0.006
0.018,0.007
0.019,0.008
0.032,0.0
0.033,0.0
0.034,0.0
0.035,0.0
0.036,0.0
0.036,0.0
0.037,0.0
0.038,0.0
0.039,0.0
0.04,0.0
0.053,0.0
1.053,0.0
2.053,0.0
2.074,0.0
2.075,0.001
2.076,0.002
2.076,0.002
2.077,0.003
2.078,0.004
2.079,0.005
2.08,0.006
2.08,0.006
2.081,0.007
2.082,0.008
2.096,0.0
2.096,0.0
2.097,0.0
2.098,0.0
2.099,0.0
2.1,0.0
2.1,0.0
2.101,0.0
2.102,0.001
2.103,0.002
2.104,0.002
2.104,0.003
2.105,0.004
2.106,0.005
2.107,0.006
2.108,0.006
2.108,0.007
2.109,0.008
3.101,0.0
4.101,0.0
4.122,0.0
4.123,0.001
4.124,0.002
4.124,0.002
4.125,0.003
4.126,0.004
4.127,0.005
4.128,0.006
4.128,0.006
4.129,0.007
4.13,0.008
4.144,0.0
4.144,0.0
4.145,0.0
4.146,0.0
4.147,0.0
4.148,0.0
4.148,0.0
4.149,0.0
4.15,0.0
4.151,0.0
4.164,0.0
5.164,0.0
6.164,0.0
6.185,0.0
6.186,0.001
6.187,0.002
6.188,0.002
6.188,0.003
6.189,0.004
6.19,0.005
6.191,0.006
6.192,0.006
6.192,0.007
6.193,0.008
6.207,0.0
6.208,0.0
6.208,0.0
6.209,0.0
6.21,0.0
6.211,0.0
6.212,0.0
6.212,0.0
6.213,0.001
6.214,0.002
6.215,0.002
6.216,0.003
6.216,0.004
6.217,0.005
6.218,0.006
6.219,0.006
6.22,0.007
6.22,0.008
7.212,0.0
8.212,0.0
8.233,0.0
8.234,0.001
8.235,0.002
8.236,0.002
8.236,0.003
8.237,0.004
8.238,0.005
8.239,0.006
8.24,0.006
8.24,0.007
8.241,0.008
8.255,0.0
8.256,0.0
8.256,0.0
8.257,0.0
8.258,0.0
8.259,0.0
8.26,0.0
8.26,0.0
8.261,0.0
8.262,0.0
8.276,0.0
9.276,0.0
10.276,0.0
10.296,0.0
10.297,0.001
10.298,0.002
10.299,0.002
10.3,0.003
10.3,0.004
10.301,0.005
10.302,0.006
10.303,0.006
10.304,0.007
10.304,0.008
10.318,0.0
10.319,0.0
10.32,0.0
10.32,0.0
10.321,0.0
10.322,0.0
10.323,0.0
10.324,0.0
10.324,0.001
10.325,0.002
10.326,0.002
10.327,0.003
10.328,0.004
10.328,0.005
10.329,0.006
10.33,0.006
10.331,0.007
10.332,0.008
11.324,0.0
12.324,0.0
12.344,0.0
12.345,0.001
12.346,0.002
12.347,0.002
12.348,0.003
12.348,0.004
12.349,0.005
12.35,0.006
12.351,0.006
12.352,0.007
12.352,0.008
12.366,0.0
12.367,0.0
12.368,0.0
12.368,0.0
12.369,0.0
12.37,0.0
12.371,0.0
12.372,0.0
12.372,0.0
12.373,0.0
12.387,0.0
13.387,0.0
14.387,0.0
14.408,0.0
14.408,0.001
14.409,0.002
14.41,0.002
14.411,0.003
14.412,0.004
14.412,0.005
14.413,0.006
14.414,0.006
14.415,0.007
14.416,0.008
14.429,0.0
14.43,0.0
14.431,0.0
14.432,0.0
14.432,0.0
14.433,0.0
14.434,0.0
14.435,0.0
14.436,0.001
14.436,0.002
14.437,0.002
14.438,0.003
14.439,0.004
14.44,0.005
14.44,0.006
14.441,0.006
14.442,0.007
14.443,0.008
15.435,0.0
16.435,0.0
16.456,0.0
16.456,0.001
16.457,0.002
16.458,0.002
16.459,0.003
16.46,0.004
16.46,0.005
16.461,0.006
16.462,0.006
16.463,0.007
16.464,0.008
16.477,0.0
16.478,0.0
16.479,0.0
16.48,0.0
16.48,0.0
16.481,0.0
16.482,0.0
16.483,0.0
16.484,0.0
16.484,0.0
16.498,0.0
17.498,0.0
18.498,0.0
18.519,0.0
18.52,0.001
18.52,0.002
18.521,0.002
18.522,0.003
18.523,0.004
18.524,0.005
18.524,0.006
18.525,0.006
18.526,0.007
18.527,0.008
18.54,0.0
18.541,0.0
18.542,0.0
18.543,0.0
18.544,0.0
18.544,0.0
18.545,0.0
18.546,0.0
18.547,0.001
18.548,0.002
18.548,0.002
18.549,0.003
18.55,0.004
18.551,0.005
18.552,0.006
18.552,0.006
18.553,0.007
18.554,0.008
19.546,0.0
20.546,0.0
20.567,0.0
20.568,0.001
20.568,0.002
20.569,0.002
20.57,0.003
20.571,0.004
20.572,0.005
20.572,0.006
20.573,0.006
20.574,0.007
20.575,0.008
20.588,0.0
20.589,0.0
20.59,0.0
20.591,0.0
20.592,0.0
20.592,0.0
20.593,0.0
20.594,0.0
20.595,0.0
20.596,0.0
20.609,0.0
21.609,0.0
22.609,0.0
22.63,0.0
22.631,0.001
22.632,0.002
22.632,0.002
22.633,0.003
22.634,0.004
22.635,0.005
22.636,0.006
22.636,0.006
22.637,0.007
22.638,0.008
22.652,0.0
22.652,0.0
22.653,0.0
22.654,0.0
22.655,0.0
22.656,0.0
22.656,0.0
22.657,0.0
22.658,0.001
22.659,0.002
22.66,0.002
22.66,0.003
22.661,0.004
22.662,0.005
22.663,0.006
22.664,0.006
22.664,0.007
22.665,0.008
23.657,0.0
24.657,0.0
24.678,0.0
24.679,0.001
24.68,0.002
24.68,0.002
24.681,0.003
24.682,0.004
24.683,0.005
24.684,0.006
24.684,0.006
24.685,0.007
24.686,0.008
24.7,0.0
24.7,0.0
24.701,0.0
24.702,0.0
24.703,0.0
24.704,0.0
24.704,0.0
24.705,0.0
24.706,0.0
24.707,0.0
24.72,0.0
25.72,0.0
26.72,0.0
26.741,0.0
26.742,0.001
26.743,0.002
26.744,0.002
26.744,0.003
26.745,0.004
26.746,0.005
26.747,0.006
26.748,0.006
26.748,0.007
26.749,0.008
26.763,0.0
26.764,0.0
26.764,0.0
26.765,0.0
26.766,0.0
26.767,0.0
26.768,0.0
26.768,0.0
26.769,0.001
26.77,0.002
26.771,0.002
26.772,0.003
26.772,0.004
26.773,0.005
26.774,0.006
26.775,0.006
26.776,0.007
26.776,0.008
27.768,0.0
28.768,0.0
28.789,0.0
28.79,0.001
28.791,0.002
28.792,0.002
28.792,0.003
28.793,0.004
28.794,0.005
28.795,0.006
28.796,0.006
28.796,0.007
28.797,0.008
28.811,0.0
28.812,0.0
28.812,0.0
28.813,0.0
28.814,0.0
28.815,0.0
28.816,0.0
28.816,0.0
28.817,0.0
28.818,0.0
28.832,0.0
29.832,0.0
30.832,0.0
30.852,0.0
30.853,0.001
30.854,0.002
30.855,0.002
30.856,0.003
30.856,0.004
30.857,0.005
30.858,0.006
30.859,0.006
30.86,0.007
30.86,0.008
30.874,0.0
30.875,0.0
30.876,0.0
30.876,0.0
30.877,0.0
30.878,0.0
30.879,0.0
30.88,0.0
30.88,0.001
30.881,0.002
30.882,0.002
30.883,0.003
30.884,0.004
30.884,0.005
30.885,0.006
30.886,0.006
30.887,0.007
30.888,0.008
31.88,0.0
32.88,0.0
32.9,0.0
32.901,0.001
32.902,0.002
32.903,0.002
32.904,0.003
32.904,0.004
32.905,0.005
32.906,0.006
32.907,0.006
32.908,0.007
32.908,0.008
32.922,0.0
32.923,0.0
32.924,0.0
32.924,0.0
32.925,0.0
32.926,0.0
32.927,0.0
32.928,0.0
32.928,0.0
32.929,0.0
32.943,0.0
33.943,0.0
34.943,0.0
34.964,0.0
34.964,0.001
34.965,0.002
34.966,0.002
34.967,0.003
34.968,0.004
34.968,0.005
34.969,0.006
34.97,0.006
34.971,0.007
34.972,0.008
34.985,0.0
34.986,0.0
34.987,0.0
34.988,0.0
34.988,0.0
34.989,0.0
34.99,0.0
34.991,0.0
34.992,0.001
34.992,0.002
34.993,0.002
34.994,0.003
34.995,0.004
34.996,0.005
34.996,0.006
34.997,0.006
34.998,0.007
34.999,0.008
35.991,0.0
36.991,0.0
37.012,0.0
37.012,0.001
37.013,0.002
37.014,0.002
37.015,0.003
37.016,0.004
37.016,0.005
37.017,0.006
37.018,0.006
37.019,0.007
37.02,0.008
37.033,0.0
37.034,0.0
37.035,0.0
37.036,0.0
37.036,0.0
37.037,0.0
37.038,0.0
37.039,0.0
37.04,0.0
37.04,0.0
37.054,0.0
38.054,0.0
39.054,0.0
39.075,0.0
39.076,0.001
39.076,0.002
39.077,0.002
39.078,0.003
39.079,0.004
39.08,0.005
39.08,0.006
39.081,0.006
39.082,0.007
39.083,0.008
39.096,0.0
39.097,0.0
39.098,0.0
39.099,0.0
39.1,0.0
39.1,0.0
39.101,0.0
39.102,0.0
39.103,0.001
39.104,0.002
39.104,0.002
39.105,0.003
39.106,0.004
39.107,0.005
39.108,0.006
39.108,0.006
39.109,0.007
39.11,0.008
40.102,0.0
41.102,0.0
41.123,0.0
41.124,0.001
41.124,0.002
41.125,0.002
41.126,0.003
41.127,0.004
41.128,0.005
41.128,0.006
41.129,0.006
41.13,0.007
41.131,0.008
42.152,0.0
42.172,0.0
42.173,0.001
42.174,0.002
42.174,0.002
43.195,0.0
